name;last_version;python_version;downloads
['standalone'];['2018-07-28T17:41:38'];['source'];[-1]
['fablib'];['2012-07-12T10:34:31'];['source'];[-1]
['unittest-expander'];['2023-03-29T13:59:23'];['py2'];[-1]
['tessera-client'];['2015-08-21T15:32:55'];['source'];[-1]
['saltext.vmware'];['2023-06-29T19:15:19'];['py2.py3'];[-1]
['botocore-a-la-carte-sagemaker-edge'];['2023-07-18T01:59:31'];['py3'];[-1]
['phil'];['2013-05-30T18:21:24'];['source'];[-1]
['touca-fbs'];['2023-02-13T07:47:45'];['py3'];[-1]
['aoe2de-rms-gen-obj-parser'];['2020-02-02T14:43:35'];['py3'];[-1]
['git-search-replace'];['2021-01-16T08:11:43'];['py3'];[-1]
['jira-helper'];['2023-07-10T04:44:20'];['py3'];[-1]
['django-pg-zero-downtime-migrations'];['2023-06-24T23:41:16'];['py3'];[-1]
['pypairtree'];['2018-08-28T19:20:43'];['py3'];[-1]
['filediffs'];['2020-08-27T19:52:34'];['cp35'];[-1]
['kb4.py'];['2019-04-20T19:10:10'];['py3'];[-1]
['panda-robot-client'];['2022-09-28T15:41:37'];['py3'];[-1]
['raol-libpyhtonpro'];['2020-09-22T15:39:36'];['source'];[-1]
['nova-graph'];['2022-05-07T16:13:31'];['py2.py3'];[-1]
['nose-detecthttp'];['2022-03-17T16:06:28'];['py2.py3'];[-1]
['genetictabler'];['2023-02-26T12:29:16'];['py3'];[-1]
['labelord-halfdeadpie'];['2017-11-30T14:05:11'];['py3'];[-1]
['PyWinCtl'];['2023-02-13T14:59:03'];['py3'];[-1]
['times'];['2014-08-24T06:13:21'];['py2.py3'];[-1]
['jinjamodificado'];['2018-03-30T06:50:53'];['source'];[-1]
['Baker'];['2015-01-19T10:11:43'];['3.4'];[-1]
['zake'];['2015-05-27T05:16:07'];['py2.py3'];[-1]
['alibabacloud-gateway-dingtalk-py2'];['2023-04-25T09:48:46'];['source'];[-1]
['BoxArchive'];['2018-04-25T14:11:03'];['py2.py3'];[-1]
['elv'];['2016-05-26T20:06:37'];['py2.py3'];[-1]
['docker-zabbix-sender'];['2015-03-06T17:28:39'];['source'];[-1]
['OpenDartReader'];['2023-03-15T07:17:25'];['py3'];[-1]
['django-polyfield'];['2017-05-21T15:25:49'];['py2.py3'];[-1]
['resdk'];['2023-05-18T09:51:50'];['py3'];[-1]
['antchain-goodschain'];['2021-12-18T01:46:53'];['py3'];[-1]
['django-activitysync'];['2011-02-14T08:31:45'];['source'];[-1]
['django-uwsgi-taskmanager'];['2023-01-15T20:48:30'];['py3'];[-1]
['reactive-pyecharts'];['2019-04-11T17:19:24'];['source'];[-1]
['aliyun-python-sdk-nas'];['2022-07-18T03:41:07'];['py2.py3'];[-1]
['tendril-projects'];['2019-10-07T17:55:17'];['py2.py3'];[-1]
['tencentcloud-sdk-python-intlpartnersmgt'];['2023-03-16T03:00:19'];['py2.py3'];[-1]
['CodeViking.contracts'];['2015-10-19T04:08:37'];['source'];[-1]
['matrix-array'];['2015-09-19T22:15:05'];['py3'];[-1]
['custom-e-celery'];['2017-03-01T14:07:38'];['source'];[-1]
['nameko-neo4j'];['2017-02-02T09:22:48'];['3.5'];[-1]
['tlvdict'];['2023-01-02T06:13:10'];['py3'];[-1]
['zenfilter'];['2021-09-01T06:36:42'];['source'];[-1]
['maze'];['2022-03-04T22:43:38'];['py3'];[-1]
['aliyun-python-sdk-ccc'];['2023-05-23T12:05:38'];['py2.py3'];[-1]
['django-rest-utils-mosoti'];['2017-02-06T13:56:08'];['source'];[-1]
['saudiaddress'];['2019-05-24T21:39:01'];['py2.py3'];[-1]
